dataValor,pais,filial,alugadas_total,alugadas_0km,alugadas_semi,alugadas_usada,frota_op_total,frota_op_0km,frota_op_semi,frota_op_usada,pronta_total,pronta_0km,pronta_semi,pronta_usada,manutencao_total,manutencao_0km,manutencao_semi,manutencao_usada,transito_0km_total,fabrica_0km_total,administrativo_total,venda_total,venda_mm,venda_direta_doacao,venda_ag_leilao,perda_total,roubada_total,transito_entre_ag_total,indisponivel_total,apreendida_total,apropriacao_total,indisponiveis_regulatorio_total,recebida_0km,transito_0km,qtd_faturada_mes,qtd_produzidas,qtd_vendas_0km,qtd_vendas_semi,qtd_vendas_usada,qtd_internas,qtd_cliente,mec_total,mec_presentes,mec_na_rampa,lugarId,cidade,regiao,estado,populacao,terceiro,populacao_percentil,populacao_cluster,regiao_consolidada,modelo_operacao,hierarquia_urbana,classificacao_populacao
2025-11-30,Brasil,Mottu Guarujá,64,64,0,0,69,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,17,0,0,,,,,,210,Guarujá,Sudeste,SP,311116,1,4,A,Sudeste,ASP,Interior,Centro Local
2025-11-30,Brasil,Mottu Goiana,10,10,0,0,12,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6,0,0,,,,,,327,Goiana,Nordeste,PE,80983,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-11-30,Brasil,Mottu Ponta Grossa - RP Motos,10,10,0,0,18,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,,,,,,235,Ponta Grossa,Sul,PR,391654,1,4,A,Sul,ASP,Interior,Centro Local
2025-11-30,Brasil,Mottu Soledade,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,373,Soledade,Nordeste,PB,13955,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-11-30,Brasil,Mottu Ibiúna,13,11,0,2,20,5,1,1,6,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,9,0,4,,,,,,461,Ibiúna,Sudeste,SP,84820,1,2,C,Sudeste,ASP,Interior,Centro Local
2025-11-30,Brasil,Mottu Duque de Caxias - Bino Motors,132,125,7,0,147,11,4,0,9,8,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,,33,44,3,0,,,,,,368,Duque de Caxias,Sudeste,RJ,782799,1,5,S,Sudeste,ASP,Interior,Centro Local
2025-05-31,México,Mottu CDMX Tlalpan,1555,818,0,737,1777,5,138,79,17,2,11,4,139,1,78,60,0,15,3,10,10,0,0,0,0,0,65,10,12,43,1,0,,,142,0,108,129,1267,,,,,,,,,,,,,Outros,Interior,Centro Local
2025-05-31,Brasil,Mottu Ananindeua,1685,960,64,661,1935,161,21,68,136,79,16,41,17,0,4,13,81,0,1,3,3,0,0,0,0,0,16,3,0,13,0,0,241,205,270,22,116,271,1235,,,,122,Ananindeua,Norte,PA,515745,0,4,A,Norte,Filial Mottu,Interior,Centro Local
2025-05-31,Brasil,Mottu Camaçari,543,369,26,148,713,154,5,11,115,112,2,1,4,0,0,4,35,1,1,0,0,0,0,0,0,1,8,6,0,2,7,0,81,79,121,7,12,19,437,,,,173,Camaçari,Nordeste,BA,334195,0,4,A,Nordeste,Filial Mottu,Interior,Centro Local
2025-05-31,Brasil,Mottu Suzano,58,57,1,0,64,4,0,2,3,3,0,0,2,0,0,2,0,0,0,4,4,0,0,0,0,0,1,0,0,1,0,0,,10,22,0,0,,,,,,187,Suzano,Sudeste,SP,330710,1,4,A,Sudeste,ASP,Interior,Centro Local
2025-05-31,Brasil,Mottu Palhoça,14,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7,0,0,,,,,,296,Palhoça,Sul,SC,236638,1,3,B,Sul,ASP,Interior,Centro Local
2025-05-31,Brasil,Mottu Marília - LC Motos,14,14,0,0,17,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6,0,0,,,,,,171,Marília,Sudeste,SP,238605,1,3,B,Sudeste,ASP,Interior,Centro Local
2025-05-31,Brasil,Mottu Votorantim,21,20,1,0,23,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,11,0,0,,,,,,204,Votorantim,Sudeste,SP,137319,1,2,C,Sudeste,ASP,Interior,Centro Local
2025-08-31,Brasil,Mottu Divinópolis,76,63,3,10,150,61,10,3,69,61,8,0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,,2,16,2,2,6,23,,,,174,Divinópolis,Sudeste,MG,248581,0,3,B,Sudeste,Filial Mottu,Interior,Centro Local
2025-08-31,Brasil,Mottu Mongaguá,23,23,0,0,31,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,6,0,0,,,,,,323,Mongaguá,Sudeste,SP,61062,1,1,D,Sudeste,ASP,Interior,Centro Local
2025-08-31,Brasil,Mottu Boa Viagem,19,19,0,0,22,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,1,6,0,0,,,,,,390,Boa Viagem,Nordeste,CE,48213,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-08-31,Brasil,Mottu Novo Hamburgo,3,3,0,0,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,5,0,0,,,,,,448,Novo Hamburgo,Sul,RS,241306,1,3,B,Sul,ASP,Interior,Centro Local
2025-08-31,Brasil,Mottu Umuarama,8,8,0,0,14,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,,,,,,,227,Umuarama,Sul,PR,117148,1,2,C,Sul,ASP,Interior,Centro Local
2025-08-31,Brasil,Mottu Palhoça,32,32,0,0,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,13,0,0,,,,,,296,Palhoça,Sul,SC,236638,1,3,B,Sul,ASP,Interior,Centro Local
2026-01-31,México,Mottu Edomex Coacalco,588,418,61,109,697,45,45,19,54,45,6,3,30,0,23,7,0,3,1,0,0,0,0,0,0,0,26,5,3,18,0,0,,,92,46,17,53,356,,,,,,,,,,,,,Outros,Interior,Centro Local
2026-01-31,Brasil,Mottu Sobral,604,469,103,32,701,44,28,25,68,35,20,13,13,1,5,7,3,0,0,0,0,0,0,0,0,7,8,0,2,4,0,0,,,34,10,7,31,73,,,,74,Sobral,Nordeste,CE,219030,0,3,B,Nordeste,Filial Mottu,Interior,Centro Local
2026-01-31,Brasil,Mottu Florianópolis,922,350,131,441,1227,21,73,211,138,18,54,66,102,1,16,85,0,0,2,34,33,1,0,0,4,0,66,1,4,61,2,0,,,27,17,65,192,563,,,,32,Florianópolis,Sul,SC,574200,0,4,A,Sul,Filial Mottu,Interior,Centro Local
2026-01-31,Brasil,Mottu Patos de Minas,25,15,3,7,123,74,14,10,93,71,13,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,,,4,1,4,,,,,,509,Patos de Minas,Sudeste,MG,159434,0,3,B,Sudeste,Filial Mottu,Interior,Centro Local
2026-01-31,Brasil,Mottu Senhor do Bonfim,120,110,5,5,141,10,11,0,18,10,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,7,4,0,1,0,,,,355,Senhor do Bonfim,Nordeste,BA,77514,1,1,D,Nordeste,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Canoas,50,50,0,0,56,1,4,1,3,1,2,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,,11,0,0,,,,,,460,Canoas,Sul,RS,339133,1,4,A,Sul,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Vitória de Santo Antão,296,190,39,67,331,22,8,5,32,22,7,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,,12,14,14,25,67,,,,250,Vitória de Santo Antão,Nordeste,PE,135182,0,2,C,Nordeste,Filial Mottu,Interior,Centro Local
2026-01-31,Brasil,Mottu Taubaté,205,186,15,4,232,7,10,10,13,7,5,1,10,0,3,7,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,32,37,15,0,1,0,,,,104,Taubaté,Sudeste,SP,311912,1,4,A,Sudeste,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Cambé,18,18,0,0,21,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,10,4,0,0,,,,,,226,Cambé,Sul,PR,107220,1,2,C,Sul,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Mogi das Cruzes,1032,506,185,341,1206,0,32,142,21,0,13,8,120,0,18,102,0,0,3,3,3,0,0,0,4,3,31,4,1,26,0,0,,3,25,33,68,88,617,,,,86,Mogi das Cruzes,Sudeste,SP,471602,0,4,A,Sudeste,Filial Mottu,Interior,Centro Local
2026-01-31,Brasil,Mottu Trizidela do Vale,9,9,0,0,13,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,0,,,,,,539,Trizidela do Vale,Nordeste,MA,22438,1,1,D,Nordeste,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Barueri,40,33,7,0,41,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,12,0,0,,,,,,406,Barueri,Sudeste,SP,342613,1,4,A,Sudeste,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Luís Eduardo Magalhães,10,10,0,0,12,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,1,0,,,,,,350,Luís Eduardo Magalhães,Nordeste,BA,108271,1,2,C,Nordeste,ASP,Interior,Centro Local
2026-01-31,Brasil,Mottu Santa Cruz do Capibaribe,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,344,Santa Cruz do Capibaribe,Nordeste,PE,97386,1,2,C,Nordeste,ASP,Interior,Centro Local
2025-09-30,Brasil,Mottu Camaçari,949,712,68,169,1090,94,26,21,21,12,7,2,16,0,9,7,80,0,1,0,0,0,0,0,0,2,22,11,2,9,0,0,80,36,93,13,12,25,520,,,,173,Camaçari,Nordeste,BA,334195,0,4,A,Nordeste,Filial Mottu,Interior,Centro Local
2025-09-30,Brasil,Mottu Ananindeua,2415,1551,136,728,2776,124,79,158,215,40,63,112,20,0,7,13,81,0,2,10,10,0,0,0,0,27,29,2,0,15,2,0,161,173,192,28,64,161,1215,,,,122,Ananindeua,Norte,PA,515745,0,4,A,Norte,Filial Mottu,Interior,Centro Local
2025-09-30,Brasil,Mottu Macapá,1524,1052,242,230,1838,148,103,63,160,68,78,14,55,0,20,35,80,0,1,0,0,0,0,0,2,4,22,1,5,12,0,0,160,159,102,47,29,116,488,,,,66,Macapá,Norte,AP,478448,0,4,A,Norte,Filial Mottu,Capital,Centro Local
2025-09-30,Brasil,Mottu Natal,2772,1476,233,1063,3071,144,46,109,88,54,23,11,65,1,11,53,80,0,1,215,215,0,0,0,9,20,44,3,7,30,7,0,160,167,180,36,113,259,1233,,,,27,Natal,Nordeste,RN,751932,0,5,S,Nordeste,Filial Mottu,Capital,Centro Local
2025-09-30,Brasil,Mottu Bezerros,8,8,0,0,11,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,0,0,,,,,,343,Bezerros,Nordeste,PE,61398,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-09-30,Brasil,Mottu Paulo Afonso,4,4,0,0,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,360,Paulo Afonso,Nordeste,BA,118412,1,2,C,Nordeste,ASP,Interior,Centro Local
2025-09-30,Brasil,Mottu Marília - LC Motos,55,55,0,0,70,14,1,0,13,13,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,23,0,0,,,,,,171,Marília,Sudeste,SP,238605,1,3,B,Sudeste,ASP,Interior,Centro Local
2025-09-30,Brasil,Mottu Itu,14,14,0,0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,10,0,0,,,,,,98,Itu,Sudeste,SP,176548,1,3,B,Sudeste,ASP,Interior,Centro Local
2025-09-30,Brasil,Mottu Limoeiro,12,12,0,0,15,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,,,,,,337,Limoeiro,Nordeste,PE,55917,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-09-30,Brasil,Mottu Piedade,1,1,0,0,6,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,321,Piedade,Sudeste,SP,51542,1,1,D,Sudeste,ASP,Interior,Centro Local
2025-01-31,Brasil,Mottu Natal,2480,1072,26,1382,2559,3,29,47,42,2,19,21,10,0,1,9,0,0,4,0,0,0,0,0,4,3,26,5,3,18,0,0,,27,40,23,191,451,2674,,,,27,Natal,Nordeste,RN,751932,0,5,S,Nordeste,Filial Mottu,Capital,Centro Local
2025-01-31,Brasil,Mottu Governador Valadares,166,73,6,87,236,48,14,8,66,48,12,6,3,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,22,6,10,38,83,,,,76,Governador Valadares,Sudeste,MG,262499,0,3,B,Sudeste,Filial Mottu,Interior,Centro Local
2025-01-31,Brasil,Mottu Parnamirim,83,53,4,26,186,72,5,26,80,72,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,80,54,51,4,31,1,0,,,,118,Parnamirim,Nordeste,RN,252950,0,3,B,Nordeste,Filial Mottu,Interior,Centro Local
2025-10-31,Brasil,Mottu Natal,2890,1579,269,1042,3154,146,26,92,94,59,10,25,49,0,13,36,87,0,3,252,252,0,0,0,9,0,35,3,7,25,0,0,160,151,165,56,118,301,1177,,,,27,Natal,Nordeste,RN,751932,0,5,S,Nordeste,Filial Mottu,Capital,Centro Local
2025-10-31,Brasil,Mottu Castanhal,475,418,16,41,643,112,24,32,142,100,15,27,10,0,6,4,0,0,1,0,0,0,0,0,1,4,4,0,0,4,8,0,160,121,77,15,13,14,49,,,,365,Castanhal,Norte,PA,200003,0,3,B,Norte,Filial Mottu,Interior,Centro Local
2025-10-31,Brasil,Mottu Vila Isabel,346,317,22,7,510,125,20,19,65,42,10,13,10,0,6,4,80,0,0,0,0,0,0,0,0,1,8,0,2,6,0,0,80,98,61,10,11,4,9,,,,225,Rio de Janeiro,Sudeste,RJ,6625849,0,5,S,Rio de Janeiro (Capital),Filial Mottu,Capital,Centro Local
2025-10-31,Brasil,Mottu Uberlândia,1257,524,116,617,1764,126,91,291,280,124,69,87,120,0,12,108,0,0,2,31,31,0,0,0,3,13,95,5,4,86,1,0,80,80,31,23,82,193,789,,,,25,Uberlândia,Sudeste,MG,725536,0,5,S,Sudeste,Filial Mottu,Interior,Centro Local
2025-10-31,México,Mottu Cancún,438,339,11,88,600,20,137,7,125,10,111,4,13,0,11,2,0,96,1,0,0,0,0,0,4,10,17,11,0,6,0,0,,,81,10,11,61,344,,,,,,,,,,,,,Outros,Interior,Centro Local
2025-10-31,Brasil,Mottu Jaguaribe,21,21,0,0,25,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,,,,,,,,398,Jaguaribe,Nordeste,CE,32945,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-10-31,Brasil,Mottu Sete Lagoas - VS Motos,6,6,0,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,221,Sete Lagoas,Sudeste,MG,233398,1,3,B,Sudeste,ASP,Interior,Centro Local
2025-10-31,Brasil,Mottu Santo André - Kinho Motos,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,172,Santo André,Sudeste,SP,776640,1,5,S,Sudeste,ASP,Interior,Centro Local
2025-10-31,Brasil,Mottu Duque de Caxias - Bino Motors,101,97,4,0,106,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,25,34,1,0,,,,,,368,Duque de Caxias,Sudeste,RJ,782799,1,5,S,Sudeste,ASP,Interior,Centro Local
2025-10-31,Brasil,Mottu Boituva,19,18,1,0,22,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,0,,,,,,120,Boituva,Sudeste,SP,64799,1,1,D,Sudeste,ASP,Interior,Centro Local
2025-10-31,Brasil,Mottu Moju,8,8,0,0,10,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,6,0,0,,,,,,502,Moju,Norte,PA,81364,1,1,D,Norte,ASP,Interior,Centro Local
2025-06-30,Brasil,Mottu Santo Antônio de Jesus,19,19,0,0,27,8,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,61,8,0,0,,,,,,307,Santo Antônio de Jesus,Nordeste,BA,103055,1,2,C,Nordeste,ASP,Interior,Centro Local
2025-06-30,Brasil,Mottu São Carlos,314,169,65,80,422,79,13,16,96,78,8,10,5,0,2,3,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,,3,24,15,17,44,124,,,,64,São Carlos,Sudeste,SP,256898,0,3,B,Sudeste,Filial Mottu,Interior,Centro Local
2025-06-30,Brasil,Mottu Arcoverde,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,0,0,,,,,,349,Arcoverde,Nordeste,PE,77660,1,1,D,Nordeste,ASP,Interior,Centro Local
2025-06-30,Brasil,Mottu Bertioga,29,29,0,0,33,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,0,,,,,,211,Bertioga,Sudeste,SP,64018,1,1,D,Sudeste,ASP,Interior,Centro Local
2025-03-31,Brasil,Mottu Divinópolis,16,15,0,1,90,63,1,10,68,58,0,10,2,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,80,34,11,0,2,0,3,,,,174,Divinópolis,Sudeste,MG,248581,0,3,B,Sudeste,Filial Mottu,Interior,Centro Local
2025-03-31,México,Mottu CDMX Colegio Militar,1364,581,0,783,1684,9,97,214,13,7,3,3,218,2,59,157,0,3,1,1,1,0,0,0,3,1,91,41,7,42,0,0,,,123,0,209,203,811,,,,,,,,,,,,,Outros,Interior,Centro Local
2025-03-31,Brasil,Mottu Santos,1350,291,82,977,1611,80,20,161,48,0,9,39,82,0,5,77,80,0,4,8,8,0,0,0,8,2,51,4,5,40,0,0,80,68,0,65,89,326,1339,,,,24,Santos,Sudeste,SP,414029,0,4,A,Sudeste,Filial Mottu,Interior,Centro Local
2025-03-31,Brasil,Mottu Macapá,1049,713,141,195,1198,93,29,27,32,12,11,9,30,1,13,16,80,0,1,0,0,0,0,0,0,0,8,2,0,6,0,0,81,80,73,30,22,103,601,,,,66,Macapá,Norte,AP,478448,0,4,A,Norte,Filial Mottu,Capital,Centro Local
2025-03-31,Brasil,Mottu Santo André - Kinho Motos,8,5,1,2,11,0,2,1,0,0,0,0,2,0,1,1,0,0,0,4,4,0,0,0,0,0,2,1,1,0,0,0,,,,,,0,2,,,,172,Santo André,Sudeste,SP,776640,1,5,S,Sudeste,ASP,Interior,Centro Local
2025-03-31,Brasil,Mottu Ribeirão das Neves,4,2,0,2,7,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,1,2,0,0,,,,,,222,Ribeirão das Neves,Sudeste,MG,327968,1,4,A,Sudeste,ASP,Interior,Centro Local
